Participant,MCA0,ACA0,MCA1,ACA1,MCA2,ACA2,MCV0,ACV0,MCV1,ACV1,MCV2,ACV2,MNA0,ANA0,MNA1,ANA1,MNA2,ANA2,MNV0,ANV0,MNV1,ANV1,MNV2,ANV2
s01,502.893485187087,538.479020196122,592.56541391369,606.778675314984,470.631827483885,510.274702234061,370.73919933755,416.812069049623,364.727191947168,416.85181204553,367.979589413153,398.424809017645,310.798581398558,369.548169064931,359.243440645514,404.041258484358,363.026056293165,430.769105926361,229.559884173796,286.85858651429,262.482767546317,316.128271626076,237.593905068934,285.646337123277
s02,346.914244699292,379.879422479889,408.138524944661,443.985431806967,272.827229782706,348.135581707431,300.20372569561,314.606623744799,249.036083725514,293.436473411114,246.307263441849,282.872548189646,624.24810230732,637.94804796435,671.353304642253,706.454054823125,681.914502405562,697.127439483666,285.61827246449,333.818938535405,268.657780252397,294.84945643926,295.942208176712,316.868856768398
s03,403.427989804186,464.984514184135,428.582338732667,493.73478757916,392.532330006361,478.596228379474,348.752575926483,391.379313508295,354.348166612908,401.503214230096,396.545567258727,463.417509176199,572.508585755713,601.625281600647,516.371562611312,571.147222052185,466.634890763089,552.726148704096,414.158380765002,453.049054615096,370.797458454035,423.908359173726,390.592875424773,440.9124934498
s04,785.927830729634,824.125555041246,877.264067763463,888.089332918753,760.29352331534,822.008824304623,738.773425575346,795.472994849731,819.261999102309,796.318081265781,816.18951074779,798.399911798311,1007.20209279098,1031.36730362135,1014.17537545785,1017.07607707795,1064.613269642,1039.05749089878,612.973456969485,701.189982185427,572.044625878334,641.94718332016,565.938286948949,632.387712912853
s05,733.879660721868,751.219162436308,765.861191786826,792.927123518472,740.658243652433,744.963233159589,676.926104817539,695.242956974246,703.805738128722,721.341592950168,737.476934213191,748.192062925999,958.158342167735,1018.49156275958,1017.83619029447,1004.54924276484,1089.97046900913,974.086348971468,657.24765881896,684.879070101306,583.462806418538,704.5926989289,580.316814593971,640.835744268712
s06,683.683255221695,784.694359447299,738.128952682018,809.826469343776,732.65893664211,815.108411224379,657.968954648823,676.073638368398,625.126668252051,694.04566446037,563.830997794867,657.984056403594,953.496255911887,940.626210715298,1000.82106050104,977.381259300991,970.582473091781,953.973642935784,559.925826266408,602.792067708922,477.953759022057,604.015123638986,559.11185964942,592.430784175282
s07,580.106870736927,696.773816434736,546.362322755158,651.443184952119,464.766977354884,557.478099342968,540.626970119774,620.227464241907,583.033107686788,623.955134599884,544.80819310993,628.294737621521,767.613794188946,853.678088513729,862.510025501251,890.016075862305,766.925853677094,815.429045871964,513.770731166005,538.923012936172,442.161237820983,516.577775460771,484.320604242384,559.325589798391
s08,773.018760140985,776.775639555934,704.120730049908,704.631239033511,666.049160994589,673.874492278056,687.852253206074,700.545475291053,728.987707290798,717.089769689159,581.886641215533,580.162958112649,903.610162902623,914.78732423167,935.074305161834,962.599211674131,957.353732548654,965.387468484955,734.144090674818,783.742846481783,742.001975420862,777.125490454232,731.011079158634,718.687207593272
s09,852.837203070521,906.781001509551,944.322710856795,911.379087743733,777.364647947252,817.06070686307,799.379042349756,811.901943395949,823.676258791238,860.829529740537,820.004425477237,838.204508828413,942.827444057912,953.934881422255,950.049309059978,952.69622009558,978.389041963965,976.385024978834,681.386397220194,697.000351441265,696.466147899628,726.593147562299,665.90456943959,706.786419083882
s10,296.04468960315,317.395560478546,279.839602764696,318.85389254118,305.704984813929,341.392565436442,302.61770542711,324.805470324069,317.298395559192,332.207667761083,292.025113478303,303.258372470737,449.568595737219,461.384087607686,439.927921630442,472.558280532914,418.888385407627,441.748585418931,470.102061983198,478.173008761727,495.188190601766,491.344756354958,422.823139932007,453.556592274895
s11,643.578050658107,636.497336477801,766.153544187546,750.667873501891,726.987277157605,685.527962265593,481.445682700723,564.427105537443,514.904067385942,585.028682595917,502.062764018774,586.087640290233,702.23983656615,719.805288972017,754.829996265471,768.50538898889,722.471743356436,801.837414299371,507.398151792586,591.645331332847,535.325543489307,615.838958046344,520.910490304232,602.672789866726
s12,656.465085223317,697.56744785563,485.702823847532,639.781925655328,493.949656374753,639.82886110122,692.401594482362,758.859431740107,751.961716450751,782.965757411675,664.132345467806,709.298696136102,878.859703429043,921.137688396385,885.059014894068,944.877013120623,1025.49530053511,1015.59910125798,663.981415331364,727.655137516558,725.265463814139,798.574802382335,709.050265140831,740.01678947688
s13,634.204070083797,701.821451132395,648.273794911802,751.988043750708,582.077568396926,647.700052575341,536.504158750176,574.998379648462,521.98888733983,581.523815809346,539.530009031296,583.754110495959,622.839319054037,703.612949796176,757.390076760203,769.176797038226,758.401310071349,772.331962707852,565.972095355392,604.485215801819,491.585182026029,557.01568613852,516.389221418649,612.881347666391
s14,450.049007311463,549.247572319987,449.748806655407,510.921473571216,395.414947997779,505.512406517352,332.578581757843,380.057194415066,344.765902496874,427.792351442709,300.846990197897,380.576701203902,988.461830187589,993.777076490223,1046.98008019477,1001.07205588964,976.041925139725,997.955773824028,329.781540669501,370.249974383217,321.649112738669,370.685368984826,340.527929831296,371.497917290339
s15,733.879660721868,751.219162436308,765.861191786826,792.927123518472,740.658243652433,744.963233159589,676.926104817539,695.242956974246,703.805738128722,721.341592950168,737.476934213191,748.192062925999,958.158342167735,1018.49156275958,1017.83619029447,1004.54924276484,1089.97046900913,974.086348971468,657.24765881896,684.879070101306,583.462806418538,704.5926989289,580.316814593971,640.835744268712
s16,641.535510309041,689.235058054328,726.969164796174,743.257609852513,641.824089922011,704.74297109553,597.738400101662,658.480392224243,681.315158959478,681.852861129514,689.767256379128,798.379681206175,790.520187001675,783.832819322529,704.330824781209,759.445473325975,863.181664608419,849.463242896353,725.78979562968,756.047338988556,705.184486694634,785.060132119122,787.548369728029,813.5531750672
s17,581.691337283701,654.73494770077,670.481983572245,723.155545394706,565.438405610621,642.151629924774,469.006911851466,508.148836773322,530.072110705078,555.304355186517,433.973419014364,454.248218709836,944.603139534593,975.248524158889,994.869878515601,1008.71727529854,1042.63962619007,1052.5742152651,606.19381768629,622.259830676571,604.441215284169,646.113135930623,578.848413657397,602.728546706631
s18,346.541144885123,392.969999218448,298.524776473641,364.175581266401,304.884678684175,393.573540227058,359.202085062861,383.940553010413,299.155665561557,333.344944959713,317.753752227873,314.030588045716,614.039779640734,641.048778177184,626.849538646638,640.052620404914,657.58378058672,712.090704403818,481.540769338608,556.836955161449,440.165033563972,495.5720764939,457.893308717757,479.205999727128
s19,626.322036143392,705.501451415734,575.73970220983,660.488560420668,726.390347350389,735.911820213207,479.962340090424,551.202166135664,486.327976919711,545.886380301006,512.280898168683,578.912936435598,872.172886505723,896.666878149054,885.485544800758,918.85404618106,902.683148160577,919.610975762563,639.43305099383,699.522587177516,587.536717765033,695.730338974948,617.161320522428,656.040263708149
s20,1068.73608287424,934.411712683355,768.51032115519,859.620801668535,819.899076595902,804.330778909066,993.262772448361,965.241847580506,924.635058268905,932.216338192423,908.396464772522,911.941984668374,811.28170946613,841.353643645087,902.265675365925,893.671728496961,958.353042602539,957.315839768853,935.830163769424,914.956667341609,836.635436862707,796.449996308604,948.37352912873,930.257674597669
s21,842.325208708644,834.747754694784,789.860773365945,812.390926440379,871.17855809629,819.597594812512,807.296394370496,825.572711749459,720.672654453665,741.982950216958,602.830788120627,679.018939180033,934.85545553267,955.077007355891,944.25630196929,965.377715638658,838.044824078679,883.203962648457,738.957258872688,787.600720700409,758.100053295493,826.320885424165,719.363183248788,774.175428045804
s22,745.265240315348,719.698085898051,820.92434540391,788.391986072788,797.013059258461,789.892082542388,819.823309313506,798.9854498042,795.215629972517,775.732595867044,741.113751195371,751.620840746909,1013.38057685643,1033.34573025481,1045.2203839086,1046.91088133294,997.589793987572,971.893809160546,784.792984835804,794.405709038366,790.501773357391,783.100665442016,819.994010962546,807.194641972375
s23,539.337399881333,685.970923030534,515.906500164419,620.563781145366,478.661749977618,539.095384359825,667.393299750984,706.371318865216,618.882949929684,686.077412856477,567.457600031048,599.59542285651,906.924550188705,920.767536512218,937.902150209993,992.384269141921,1033.04364997894,1015.06171667845,621.730499900877,686.201790611277,640.324549982324,731.077157153881,703.273199964315,738.932857170169
s24,482.255700044334,722.281436583527,454.681499861181,653.000013547618,453.050999902189,652.828760661318,622.489499859512,683.586466692242,619.353000074625,695.158815962951,833.33080005832,824.480740600848,763.369899708778,861.161604236336,764.378000050783,819.295596925972,807.305200025439,948.040743751335,597.952099982649,689.949877331701,575.018350034952,637.432049986507,596.474150195718,670.583463972434
s25,607.325400225818,676.701719227892,658.717199694365,701.136104337385,606.34300019592,643.071774313492,577.984499977902,600.028824983523,567.351999692619,599.430318305295,572.434050031006,580.145691702556,808.031849795952,824.25057775065,854.605299886316,876.072991567231,830.327299889177,858.430437144956,686.979750171304,706.553272204474,723.571550101042,750.692254264972,682.89004988037,722.081211765352
s26,526.083099999596,633.778739215599,552.319850000003,586.866529411683,460.989300000165,566.791921874994,458.661449999909,543.143205769184,486.02849999952,589.281007246361,489.028750000216,598.869811111172,545.331049999731,587.977403846165,577.582500000062,611.875834782568,643.170100000134,649.737572727287,432.055200000832,475.099466666685,389.455799999723,476.593830000041,405.119399999421,444.118531428545
s27,415.926999994554,512.019347170212,693.481299997075,694.05021384636,497.11550000211,534.494091176705,424.174099985976,457.306869811805,459.093650002615,488.018999999339,431.931049999548,486.874550001327,423.047050004243,460.38050926021,583.739099995,604.671699999427,575.788450005348,644.649027776419,380.6748999923,419.93084716894,399.328150000656,430.049564285686,491.800600007991,523.185362856436
s28,640.658999996958,683.551676470932,616.494800007786,651.759929850753,480.351100006374,581.98074000081,576.106849999633,610.219440741208,580.877500004135,635.785384722921,639.154300006339,666.950188891254,686.851950005803,713.301036538793,731.967900006566,730.908189854876,743.402600004629,765.504672221949,465.438400002313,517.138337256791,480.345199997828,516.07004722185,479.379299998982,528.641314285259
s29,764.530350003042,752.002085997374,733.397700008936,811.480836362479,683.163899986539,760.263134288834,664.266000007046,676.279299999738,678.938500001095,709.410985915358,757.77315000596,731.720805885476,651.538799982518,688.885435845839,729.728799982695,781.526499998454,728.530400025193,749.876600001673,496.698000017204,519.926354001509,530.337399992277,547.981245713475,573.714550002478,579.647883330633
s30,498.555799975293,542.352798110959,516.697599989129,555.451100000832,426.841699998477,463.807038886848,459.13680002559,480.26243725383,478.450299997348,485.604170001378,489.863650000188,475.715785296737,420.725199990557,481.528698148193,507.233400014229,562.153330987277,517.010999988997,526.899303030046,400.064700021176,415.195688236089,388.692300010007,410.705838890863,443.077850010013,458.354934374256
s31,757.627199986018,807.582566039066,819.415499994648,834.687771427811,598.165749994223,660.991235292921,786.994800000684,799.672281133991,773.474899993744,787.825921126953,844.278900010977,822.069397142124,771.668700006558,811.464102043086,897.842700011097,912.900698592175,705.347299983259,772.162330555956,595.05834999436,610.660157408953,616.420500009554,628.207611112884,550.147700007074,643.873980557449
s32,356.009699986316,404.112427662612,325.529199966695,391.836293651501,340.434949961491,393.242787498821,364.052850025473,411.051683997503,407.71665002103,469.396839403392,390.136449976126,425.789329409942,492.623149999417,566.652731480577,456.90865002689,514.748210606878,476.914400001988,519.148920000797,384.703400020953,443.327645285775,378.208949987311,429.043556944331,403.46045003389,409.49939706308
s33,628.285300000016,714.705410000033,919.808750000357,849.63363484846,804.591600000094,802.713290909169,513.573400000041,575.213055555482,475.544899999932,556.266138888967,508.829199999582,560.930944444408,479.730000000018,544.248607547143,612.301799999841,679.493897182991,540.507900000193,613.19690285718,405.02669999978,416.845843396193,448.848550000093,471.326601470624,499.786299999869,500.951460606013
s34,638.987899990752,642.080208006082,597.320350003429,689.950875000624,477.017299999716,589.487366665465,485.748149978463,523.47724808183,511.758150008973,572.68976111421,444.615199987311,516.1973628598,494.640799995977,540.481013207442,548.946800001431,621.042309092555,531.920750014251,573.540552776346,370.940699998755,407.267662267122,376.343299984001,428.526614080216,455.399250000482,500.727352939601
